id,question,letter,answer,img
210,Wskaż protokół warstwy aplikacji służący do odbierania poczty elektronicznej który w pierwszej fazie pobiera nagłówki wiadomości a pobranie ich treści oraz załączników następuje dopiero po otwarciu maila.,A,IMAP,0
211,Do podłączenia (zaszycia) kabla w module Keystone należy wykorzystać,D,narzędzie uderzeniowe.,0
212,Adresem rozgłoszeniowym w podsieci o adresie IPv4 192.168.160.0/21 jest,C,192.168.167.255,0
213,W adresacji IPv6 zastosowanie podwójnego dwukropka jest wykorzystywane do,D,jednorazowego zastąpienia jednego lub kolejno ułożonych po sobie bloków złożonych wyłącznie z zer.,0
214,Co należy wpisać w miejscu kropek aby w systemie Linux zwiększyć domyślny odstęp czasowy między kolejnymi transmisjami pakietów przy użyciu polecenia ping?,A,-i 3,1
215,Drukarką przeznaczoną do druku etykiet i kodów kreskowych która drukuje poprzez roztapianie pokrycia specjalnej taśmy w wyniku czego barwnik z niej zostaje przyklejony do materiału na którym następuje drukowanie jest drukarka,D,termotransferowa,0
216,Aby podłączyć do komputera drukarkę igłową o przedstawionych parametrach należy kabel dołączony do drukarki zamocować w porcie,D,Centronics,1
217,W systemie Windows Professional do konfiguracji czasu dostępności drukarki należy wykorzystać zakładkę,A,Zaawansowane we Właściwościach drukarki.,0
218,Podstawową czynnością eksploatacyjną drukarki igłowej jest wymiana pojemnika,D,z taśmą,0
219,W systemie Linux do monitorowania pracy sieci urządzeń sieciowych oraz serwerów można wykorzystać program,A,Nagios,0
220,W systemie Linux do monitorowania pracy sieci urządzeń sieciowych oraz serwerów można wykorzystać program,B,Wyświetlenie tablicy ARP.,1
221,Aby ukryć identyfikator sieci bezprzewodowej należy w ruterze zmienić jego konfigurację w polu oznaczonym numerem,B,2,1
222,Konfiguracja rutingu statycznego na ruterze polega na,D,wskazaniu adresu sieci docelowej wraz z jej maską oraz podaniu adresu lub interfejsu do przesłania danych do zadanej sieci.,0
223,Wskaż zestaw służący do diagnostyki logicznych układów elektronicznych znajdujących się na płycie głównej komputera który nie reaguje na próby włączenia zasilania.,A,A,1
224,Do naprawy zasilacza laptopa polegającej na wymianie kondensatorów należy zastosować,C,lutownicę z cyną i kalafonią.,0
225,Aby wyodrębnić dane zawarte w archiwum o nazwie dane.tar użytkownik pracujący w systemie Linux powinien użyć polecenia,C,tar –xvf dane.tar,0
226,Na wydrukach drukarki laserowej można zaobserwować podłużne pasma oraz powtarzające się artefakty. Możliwą przyczyną złej jakości wydruku jest usterka,D,bębna światłoczułego.,0
227,Przedstawiony wynik działania polecenia systemu Linux służy do diagnostyki,B,dysku twardego,1
228,System operacyjny został zaatakowany przez oprogramowanie szpiegujące. Po usunięciu usterek aby uniknąć kolejnego ataku zaleca się,C,zainstalowanie oprogramowania antyspyware,0
229,Wskaż należność brutto za wykonanie wymienionych w tabeli czynności serwisowych jeśli koszt jednej roboczogodziny wynosi 12000 zł netto a stawka podatku VAT wynosi 23%.,C,36900 zł,1
230,Aby po uruchomieniu systemu Windows automatycznie włączał się program Kalkulator należy wykonać konfigurację,D,harmonogramu zadań.,0
231,Do sprawdzenia przedstawionej konfiguracji interfejsów sieciowych w systemie Linux użyto polecenia,C,ifconfig,1
232,Wskaż polecenie systemu Linux służące do sprawdzenia w którym katalogu znajduje się użytkownik.,B,pwd,0
233,W systemach z rodziny Windows system EFS służy do zabezpieczenia danych poprzez ich,C,szyfrowanie.,0
234,Usługa systemu Windows Server służąca do zdalnej instalacji systemów operacyjnych na komputerach zarządzanych przez serwer to,D,WDS,0
235,Którą rolę serwera należy dodać w systemach z rodziny Windows Server aby możliwe było utworzenie nowej witryny FTP?,A,IIS,0
236,W systemie Linux do zablokowania hasła użytkownika egzamin należy użyć polecenia,C,usermod –L egzamin,0
237,Wskaż polecenie systemu Windows Server służące do usunięcia jednostki organizacyjnej z katalogu.,A,dsrm,0
238,W systemie Linux do zarządzania tablicami partycji można wykorzystać polecenie,C,fdisk,0
239,Na rysunku procesor oznaczony jest numerem,A,2,1
240,Na rysunku karta rozszerzeń oznaczona jest numerem,B,4,1
241,Rysunek przedstawia pamięć,C,SDRAM DIMM,1
242,W przedstawionej na schemacie płycie głównej zasilanie należy podłączyć do złącza oznaczonego numerem,C,6,1
243,W przedstawionej na schemacie płycie głównej złącze PCI oznaczone jest numerem,D,4,1
244,Złącze AGP służy do podłączenia,C,kart graficznych,0
245,Do którego wyprowadzenia należy podłączyć głośniki aktywne w karcie dźwiękowej której schemat funkcjonalny przedstawia rysunek?,C,Line out,1
246,Który z elementów pokazanych na schemacie karty dźwiękowej na rysunku służy do cyfrowego przetwarzania sygnałów?,B,Procesor DSP,1
247,Warunkiem niezbędnym przy archiwizacji danych jest,B,kopiowanie danych,0
248,Ile komórek pamięci można zaadresować bezpośrednio w 64 bitowym procesorze który ma 32 bitową szynę adresową?,A,2 do potęgi 32,0
249,Co oznacza zwrot "wykonanie backupu systemu"?,D,Wykonanie kopii zapasowej systemu,0
250,Klaster komputerowy to,C,grupa komputerów pracujących współbieżnie tak jakby był to jeden komputer,0
251,Pamięć oznaczona symbolem PC3200 nie może współpracować z magistralą,D,533 MHz,0
252,Co oznacza jednostka dpi podawana w parametrach katalogowych skanerów i drukarek?,A,Punkty na cal,0
253,Jaka jest maksymalna prędkość odczytu płyt CD-R w napędzie oznaczonym x48?,C,7200 kB/s,0
254,Funkcje różnych kategorii (daty i czasu finansowe tekstowe matematyczne statystyczne) są elementem składowym,C,arkusza kalkulacyjnego,0
255,Analizując rysunek zauważamy że limit zadeklarowanej pamięci wynosi 620976 KB. Widać jednocześnie że zainstalowanej pamięci fizycznej w analizowanym systemie jest mniej niż pamięci zadeklarowanej. Jaki typ pamięci decyduje w tym wypadku o zwiększeniu limitu pamięci zadeklarowanej ponad wielkość zainstalowanej pamięci fizycznej?,B,Pamięć pliku stron,1
256,Urządzenie komputerowe które bezwzględnie powinno być podłączone do sieci za pośrednictwem UPS to,C,serwer sieciowy,0
257,Z jakiego systemu plików należy skorzystać instalując Linuxa by mieć możliwość definiowania uprawnień do plików i folderów?,A,EXT2,0
258,W celu zdalnego i przy tym bezpiecznego administrowania systemem Linux należy wykorzystać protokół,D,SSH2,0
259,Cechą charakterystyczną wirusów polimorficznych jest to że,D,mają cechę polegającą na modyfikowaniu swojego kodu,0
260,Na komputerze podłączonym do Internetu w programie antywirusowym bazę wirusów należy aktualizować co najmniej,A,raz dziennie,0
261,Jeżeli podczas podłączenia stacji dysków elastycznych 144 MB kabel danych zostanie podłączony odwrotnie to,A,BIOS komputera zgłosi błąd podłączenia stacji dysków,0
262,Jakie elementy znajdują się na przedstawionej płycie głównej?,B,2 złącza ISA 4 złącza PCI 3 złącza pamięci DIMM,1
263,Na schemacie blokowym przedstawiającym fragment systemu mikroprocesorowego symbolem X oznaczono,C,kontroler przerwań,1
264,Na zdjęciu przedstawiono płytę główną komputera. Strzałką oznaczono,C,kontroler mostka północnegoz umocowanym radiatorem,1
265,Zdjęcie przedstawia kartę,D,telewizyjną ze złączem PCI,1
266,Który z interfejsów jest interfejsem równoległym?,A,LPT,0
267,Na schemacie blokowym procesora blok funkcyjny nazwany SIMD to,B,zestaw 128 bitowych rejestrów niezbędny przy wykonywaniu instrukcji SSE procesora na liczbach stało- i zmiennoprzecinkowych,1
268,Jaką funkcję pełnią elementy Tr1 i Tr2 widoczne na schemacie przedstawiającym kartę sieciową Ethernet?,D,Zapewniają izolację obwodu elektrycznego sieci LAN od obwodu elektrycznego komputera,1
269,Schemat blokowy przedstawia,B,dysk twardy,1
270,Systemy operacyjne z rodziny Linux rozprowadzane są na podstawie licencji,A,GNU,0
271,Zgodnie z przedstawionym w tabeli standardem opisu pamięci PC-100 wskażpamięć która ma maksymalny czas dostępu 6 nanosekund i minimalne opóźnienie między sygnałami CAS i RAS wynoszące 2 cykle zegara,A,PC100-322-60,1
272,Zgodnie z dokumentacją karty graficznej jej zdolność do pracy z systemem AGP 2X/4X umożliwia,A,przesyłanie danych z maksymalną prędkością 1066 MB/s,0
273,Jeżeli w konfiguracji karty graficznej zostanie wybrane odświeżanie obrazu większe od zalecanego monitor CRT spełniający normy TCO 99,D,przejdzie w stan uśpienia lub pojawi się okno informacyjne z komunikatem,0
274,Jakie systemy operacyjne infekuje wirus MS Blaster?,A,MS Windows 2000/NT/XP,0
275,W dokumentacji opisano system plików,B,NTFS,1
276,Liczba 356 zapisana w systemie dwójkowym to,C,101100100,0
277,Pewną liczbę naturalną w systemie szesnastkowym zapisano następująco: 41. Wskaż tę liczbę zapisaną w systemie dziesiętnym,A,65,0
278,Na płycie głównej wykorzystującej układ Intel 865G,B,można zainstalować kartę graficzną ze złączem AGP,0
279,Najlepsze zabezpieczenie komputera przed wirusami stanowi zainstalowanie,C,skanera antywirusowego,0
280,W celu wymiany uszkodzonego modułu pamięci RAM w pierwszej kolejności należy,C,odłączyć zasilanie komputera,0
281,Specyfika pracy firmy wymaga posługiwania się systemami plików charakteryzujących się dużym bezpieczeństwem i możliwością szyfrowania danych.W tym celu należy zastosować system operacyjny Windows,A,2000/7/XP,0
282,Oprogramowanie antywirusowe może skutecznie chronić komputer. Ważne jest aby wybrać opcję uruchamiania programu wraz z komputerem oraz opcję,B,monitorowania w czasie rzeczywistym (skanowania w tle),0
283,Szerokość magistrali pamięci DDR SDRAM wynosi,B,64 bity,0
284,Przy pomocy taśmy 34-pinowej przedstawionej na rysunku podłącza się do płyty głównej komputera,C,napędy dyskietek 35 lub 525 cala,1
285,Niektóre systemy operacyjne są wielodostępne (multiuser). Systemy takie,D,oprócz wielozadaniowości z wywłaszczeniem realizują funkcję przydzielania czasu użytkownikom,0
286,Jeżeli w systemie operacyjnym komputera zainstaluje się program nazywany Trojanem to spowoduje on,A,wykonywanie niepożądanych działań poza kontrolą użytkownika,0
287,Zdjęcie przedstawia płytę główną komputera. Strzałką oznaczono,A,gniazdo zasilania do płyty ATX,1
288,Przy pomocy taśmy 60-pinowej przedstawionej na rysunku podłącza się do płyty głównej komputera,D,wszystkie powyższe urządzenia,1
289,NIEWŁAŚCIWE podłączenie taśmy sygnałowej do napędu dyskietek spowoduje,C,niemożność pracy z napędem,0
290,Tabela przedstawia parametry trzech dysków twardych standardu Ultra320 SCSI. Dyski te mogą pracować z maksymalnym transferem wewnętrznym,A,132 MB/s,1
291,Usługa Windows XP Professional "Mostek sieciowy" pozwala na łączenie ze sobą,A,segmentów sieci LAN,0
292,Na zdjęciu przedstawiono kartę,B,graficzną PCI,1
293,Blok funkcjonalny RAMDAC na schemacie blokowym przedstawia,A,przetwornik cyfrowo-analogowy z pamięcią RAM,1
294,Który z rodzajów macierzy RAID oferuje tzw. mirroring dysków?,B,RAID-1,0
295,Liczbami 25 i 27 na przedstawionej płycie głównej komputera oznaczono złącza,C,USB,1
296,W trybie wielozadaniowości z wywłaszczeniem zawieszony program,B,nie może zawiesić systemu operacyjnego,0
297,Jak należy wpisać w formule arkusza kalkulacyjnego adres komórki B3 żeby przy kopiowaniu tej formuły w dowolne miejsce arkusza adres komórki B3 pozostał niezmieniony?,D,$B$3,0
298,Blok funkcjonalny oznaczony DSP w zamieszczonym schemacie blokowym to,B,mikroprocesor karty dźwiękowej,1
299,W wyniku użycia narzędzia diagnostycznego chkdsk otrzymano informacje widoczne na zrzucie ekranu. Jaką wielkość posiada pojedynczy klaster dysku?,C,4 kB,1
300,Komputery przenośne są z reguły wyposażone w bezprzewodowe sieci LAN. Ograniczenia ich użytkowania dotyczą emisji fal radiowych mogących zakłócać działanie innych ważnych dla bezpieczeństwa urządzeń,B,w samolocie,0
301,Plik zaszyfrowany przez użytkownika za pomocą systemu NTFS 5.0 jest każdorazowo automatycznie szyfrowany podczas,A,zapisywania go na dysku,0
302,Na zdjęciu przedstawiono,C,kartę sieci bezprzewodowej,1
303,W systemie Linux mamy następujące prawa dostępu do pewnego pliku rwxr--r-- . Jakim poleceniem zmienimy je na rwxrwx---?,C,chmod 770 nazwapliku,0
304,Zerowanie rejestrów procesora odbywa się poprzez,A,użycie sygnału RESET,0
305,Do porównywania liczb binarnych służą,B,komparatory,0
306,Na podstawie nazw sygnałów sterujących określ funkcję podzespołu komputera oznaczonego na rysunku symbolem X,C,Kontroler przerwań,1
307,Który z podzespołów komputera przy wyłączonym zasilaniu przechowuje program rozpoczynający ładowanie systemu operacyjnego?,C,ROM,1
308,Zdjęcie przedstawia,D,chłodzenie pasywne chipsetu,1
309,Monitor CRT łączy się z kartą graficzną za pomocą złącza,C,D-SUB,0
310,Rejestr mikroprocesora zwany licznikiem rozkazów zawiera,C,adres rozkazu przeznaczonego do wykonania jako następny,0
311,Układ RAMDAC,B,stanowi stopień wyjściowy karty graficznej,0
312,Jaką liczbę dziesiętną zapisano na jednym bajcie w kodzie znak – moduł: 1 1111111,B,–127,0
313,W systemie Linux polecenie ps spowoduje wyświetlenie,D,listy aktualnych procesów zalogowanego użytkownika,0
314,MFT w systemie plików NTFS to,D,plik zawierający informacje dotyczące poszczególnych plików i folderów na danym woluminie,0
315,Sumą dwóch liczb binarnych 1101011 i 1001001 jest liczba dziesiętna,C,180,0
316,W systemie Windows XP na komputerze klienckim plik "hosts" jest plikiem tekstowym który służy do mapowania,B,nazw hostów na adresy IP,0
317,Czynności samokontrolujące komputer po włączeniu zasilania oznaczone są skrótem,A,POST,0
318,Magistrala która łączy w komputerze procesor z kontrolerem pamięci składająca się z szyny adresowej szyny danych i linii sterujących nosi nazwę,B,FSB – Front Side Bus,0
319,Określ wielkość klastra na podstawie zamieszczonego fragmentu komunikatu systemu WINDOWS wyświetlonego po zakończeniu działania programu format a:,A,05 KB,1
320,Systemy operacyjne z rodziny Linux rozprowadzane są na podstawie licencji,A,GNU,0
321,W systemie Linux ifconfig oznacza,B,narzędzie umożliwiające wyświetlenie stanu interfejsów sieciowych,0
322,Które złącze płyty głównej komputera służy do zainstalowania przedstawionej na zdjęciu karty graficznej?,D,PCI-E,1
323,Który z portów na panelu tylnym komputera oznacza się przedstawionym symbolem?,D,USB,1
324,Jak nazywa się port panelu tylnego komputera zamieszczony na rysunku?,D,DVI,1
325,Scandisk to program który stosuje się do,D,sprawdzania dysku,0
326,Program który dostarcza informacji o wydajności zestawu komputerowego to,D,benchmark,0
327,Główny rekord rozruchowy dysku twardego komputera to,B,MBR,0
328,Jaki zestaw kolorów zawiera tryb CMYK?,A,Błękitny purpurowy żółty i czarny,0
329,W systemie Windows moduł odpowiedzialny za internetowe usługi informacyjne to,A,IIS,0
330,Co oznacza znajdujący się w dokumentacji technicznej płyty głównej parametr LGA 775?,A,Typ gniazda procesora,0
331,Przedstawione w ramce parametry katalogowe dotyczą dysku twardego,D,o maksymalnym transferze zewnętrznym 300 MB/s,1
332,Rezydentna część programu antywirusowego jako podstawowa forma ochrony antywirusowej odpowiedzialna za ciągłe nadzorowanie chronionego systemu komputerowego to,C,monitor antywirusowy,0
